date,city,trend_score
2023-11-30,Copenhagen,3.964642044460004
2023-12-31,Copenhagen,2.378785226676002
2024-01-31,Copenhagen,2.378785226676002
2024-02-29,Copenhagen,3.171713635568003
2024-03-31,Copenhagen,3.964642044460004
2024-04-30,Copenhagen,2.378785226676002
2024-05-31,Copenhagen,3.171713635568003
2024-06-30,Copenhagen,2.378785226676002
2024-07-31,Copenhagen,2.378785226676002
2024-08-31,Copenhagen,3.171713635568003
2024-09-30,Copenhagen,3.171713635568003
2024-10-31,Copenhagen,2.378785226676002
2024-11-30,Copenhagen,2.378785226676002
2024-12-31,Copenhagen,3.171713635568003
2025-01-31,Copenhagen,2.378785226676002
2025-02-28,Copenhagen,2.378785226676002
2025-03-31,Copenhagen,3.171713635568003
2025-04-30,Copenhagen,2.378785226676002
2025-05-31,Copenhagen,3.171713635568003
2025-06-30,Copenhagen,3.171713635568003
2025-07-31,Copenhagen,3.171713635568003
2025-08-31,Copenhagen,5.550498862244005
2025-09-30,Copenhagen,4.757570453352004
2025-10-31,Copenhagen,3.964642044460004
2025-11-30,Copenhagen,3.964642044460004
2025-12-31,Copenhagen,3.964642044460004
2018-01-31,Dublin,11.10099772448801
2018-02-28,Dublin,11.10099772448801
2018-03-31,Dublin,11.893926133380011
2018-04-30,Dublin,10.30806931559601
2018-05-31,Dublin,11.10099772448801
2018-06-30,Dublin,11.10099772448801
2018-07-31,Dublin,11.10099772448801
2018-08-31,Dublin,11.10099772448801
2018-09-30,Dublin,11.10099772448801
2018-10-31,Dublin,10.30806931559601
2018-11-30,Dublin,10.30806931559601
2018-12-31,Dublin,8.72221249781201
2019-01-31,Dublin,10.30806931559601
2019-02-28,Dublin,10.30806931559601
2019-03-31,Dublin,11.10099772448801
2019-04-30,Dublin,10.30806931559601
2019-05-31,Dublin,10.30806931559601
2019-06-30,Dublin,11.10099772448801
2019-07-31,Dublin,11.10099772448801
2019-08-31,Dublin,11.893926133380011
2019-09-30,Dublin,11.10099772448801
2019-10-31,Dublin,11.10099772448801
2019-11-30,Dublin,10.30806931559601
2019-12-31,Dublin,9.515140906704008
2020-01-31,Dublin,10.30806931559601
2020-02-29,Dublin,10.30806931559601
2020-03-31,Dublin,7.136355680028007
2020-04-30,Dublin,4.757570453352004
2020-05-31,Dublin,5.550498862244005
2020-06-30,Dublin,7.136355680028007
2020-07-31,Dublin,7.136355680028007
2020-08-31,Dublin,7.136355680028007
2020-09-30,Dublin,7.136355680028007
2020-10-31,Dublin,6.343427271136006
2020-11-30,Dublin,5.550498862244005
2020-12-31,Dublin,6.343427271136006
2021-01-31,Dublin,5.550498862244005
2021-02-28,Dublin,5.550498862244005
2021-03-31,Dublin,5.550498862244005
2021-04-30,Dublin,5.550498862244005
2021-05-31,Dublin,6.343427271136006
2021-06-30,Dublin,7.136355680028007
2021-07-31,Dublin,7.929284088920008
2021-08-31,Dublin,7.929284088920008
2021-09-30,Dublin,7.929284088920008
2021-10-31,Dublin,8.72221249781201
2021-11-30,Dublin,7.929284088920008
2021-12-31,Dublin,7.136355680028007
2022-01-31,Dublin,7.136355680028007
2022-02-28,Dublin,7.929284088920008
2022-03-31,Dublin,7.929284088920008
2022-04-30,Dublin,8.72221249781201
2022-05-31,Dublin,9.515140906704008
2022-06-30,Dublin,9.515140906704008
2022-07-31,Dublin,8.72221249781201
2022-08-31,Dublin,8.72221249781201
2022-09-30,Dublin,8.72221249781201
2022-10-31,Dublin,7.929284088920008
2022-11-30,Dublin,7.929284088920008
2022-12-31,Dublin,7.136355680028007
2023-01-31,Dublin,7.929284088920008
2023-02-28,Dublin,8.72221249781201
2023-03-31,Dublin,7.929284088920008
2023-04-30,Dublin,7.929284088920008
2023-05-31,Dublin,8.72221249781201
2023-06-30,Dublin,9.515140906704008
2023-07-31,Dublin,10.30806931559601
2023-08-31,Dublin,8.72221249781201
2023-09-30,Dublin,8.72221249781201
2023-10-31,Dublin,7.929284088920008
2023-11-30,Dublin,9.515140906704008
2023-12-31,Dublin,7.929284088920008
2024-01-31,Dublin,7.929284088920008
2024-02-29,Dublin,7.929284088920008
2024-03-31,Dublin,8.72221249781201
2024-04-30,Dublin,7.929284088920008
2024-05-31,Dublin,9.515140906704008
2024-06-30,Dublin,9.515140906704008
2024-07-31,Dublin,8.72221249781201
2024-08-31,Dublin,9.515140906704008
2024-09-30,Dublin,8.72221249781201
2024-10-31,Dublin,7.929284088920008
2024-11-30,Dublin,7.929284088920008
2024-12-31,Dublin,7.929284088920008
2025-01-31,Dublin,8.72221249781201
2025-02-28,Dublin,7.929284088920008
2025-03-31,Dublin,7.929284088920008
2025-04-30,Dublin,7.929284088920008
2025-05-31,Dublin,8.72221249781201
2025-06-30,Dublin,9.515140906704008
2025-07-31,Dublin,9.515140906704008
2025-08-31,Dublin,11.10099772448801
2025-09-30,Dublin,11.10099772448801
2025-10-31,Dublin,10.30806931559601
2025-11-30,Dublin,9.515140906704008
2025-12-31,Dublin,8.72221249781201
2018-01-31,Florence,4.757570453352004
2018-02-28,Florence,4.757570453352004
2018-03-31,Florence,4.757570453352004
2018-04-30,Florence,4.757570453352004
2018-05-31,Florence,5.550498862244005
2018-06-30,Florence,5.550498862244005
2018-07-31,Florence,5.550498862244005
2018-08-31,Florence,5.550498862244005
2018-09-30,Florence,42.81813408016804
2018-10-31,Florence,6.343427271136006
2018-11-30,Florence,4.757570453352004
2018-12-31,Florence,4.757570453352004
2019-01-31,Florence,4.757570453352004
2019-02-28,Florence,4.757570453352004
2019-03-31,Florence,4.757570453352004
2019-04-30,Florence,5.550498862244005
